dimensao,chave,data_origem,data_alvo,horizonte,real,previsto,margem,modelo,algoritmo
categoria,cat103,2025-12-03,2025-12-04,1,0.0,2.36,2.75,model_d1,XGBRegressor
categoria,cat103,2025-12-04,2025-12-05,1,2.0,1.64,2.06,model_d1,XGBRegressor
categoria,cat103,2025-12-05,2025-12-06,1,0.0,0.32,2.2,model_d1,XGBRegressor
categoria,cat103,2025-12-06,2025-12-07,1,0.0,0.17,2.06,model_d1,XGBRegressor
categoria,cat103,2025-12-07,2025-12-08,1,1.0,2.49,2.06,model_d1,XGBRegressor
categoria,cat103,2025-12-08,2025-12-09,1,2.0,2.16,1.65,model_d1,XGBRegressor
categoria,cat103,2025-12-09,2025-12-10,1,2.0,2.4,1.1,model_d1,XGBRegressor
categoria,cat103,2025-12-10,2025-12-11,1,2.0,1.98,0.96,model_d1,XGBRegressor
categoria,cat103,2025-12-11,2025-12-12,1,0.0,1.47,1.24,model_d1,XGBRegressor
categoria,cat103,2025-12-12,2025-12-13,1,0.0,0.25,0.96,model_d1,XGBRegressor
categoria,cat103,2025-12-13,2025-12-14,1,0.0,0.15,0.96,model_d1,XGBRegressor
categoria,cat103,2025-12-14,2025-12-15,1,2.0,1.9,0.96,model_d1,XGBRegressor
categoria,cat103,2025-12-15,2025-12-16,1,1.0,2.0,1.1,model_d1,XGBRegressor
categoria,cat103,2025-12-16,2025-12-17,1,5.0,1.86,0.96,model_d1,XGBRegressor
categoria,cat103,2025-12-17,2025-12-18,1,2.0,2.61,1.37,model_d1,XGBRegressor
categoria,cat103,2025-12-18,2025-12-19,1,0.0,1.53,1.37,model_d1,XGBRegressor
categoria,cat103,2025-12-19,2025-12-20,1,0.0,0.27,1.37,model_d1,XGBRegressor
categoria,cat103,2025-12-20,2025-12-21,1,0.0,0.28,1.37,model_d1,XGBRegressor
categoria,cat103,2025-12-21,2025-12-22,1,0.0,1.82,1.37,model_d1,XGBRegressor
categoria,cat103,2025-12-22,2025-12-23,1,3.0,2.0,1.1,model_d1,XGBRegressor
categoria,cat103,2025-12-23,2025-12-24,1,1.0,1.68,1.37,model_d1,XGBRegressor
categoria,cat103,2025-12-24,2025-12-25,1,0.0,1.32,0.96,model_d1,XGBRegressor
categoria,cat103,2025-12-25,2025-12-26,1,0.0,1.08,0.96,model_d1,XGBRegressor
categoria,cat103,2025-12-26,2025-12-27,1,1.0,0.21,0.96,model_d1,XGBRegressor
categoria,cat103,2025-12-27,2025-12-28,1,0.0,0.21,0.96,model_d1,XGBRegressor
categoria,cat103,2025-12-28,2025-12-29,1,0.0,1.43,0.96,model_d1,XGBRegressor
categoria,cat103,2025-12-29,2025-12-30,1,0.0,1.44,0.96,model_d1,XGBRegressor
categoria,cat103,2025-12-30,2025-12-31,1,0.0,1.34,0.96,model_d1,XGBRegressor
categoria,cat137,2025-12-03,2025-12-04,1,0.0,1.57,1.51,model_d1,XGBRegressor
categoria,cat137,2025-12-04,2025-12-05,1,1.0,1.41,1.24,model_d1,XGBRegressor
categoria,cat137,2025-12-05,2025-12-06,1,2.0,1.12,0.96,model_d1,XGBRegressor
categoria,cat137,2025-12-06,2025-12-07,1,4.0,0.6,1.1,model_d1,XGBRegressor
categoria,cat137,2025-12-07,2025-12-08,1,2.0,2.67,1.51,model_d1,XGBRegressor
categoria,cat137,2025-12-08,2025-12-09,1,0.0,2.23,1.51,model_d1,XGBRegressor
categoria,cat137,2025-12-09,2025-12-10,1,3.0,1.61,1.24,model_d1,XGBRegressor
categoria,cat137,2025-12-10,2025-12-11,1,2.0,1.82,1.65,model_d1,XGBRegressor
categoria,cat137,2025-12-11,2025-12-12,1,0.0,1.98,1.92,model_d1,XGBRegressor
categoria,cat137,2025-12-12,2025-12-13,1,4.0,0.96,1.79,model_d1,XGBRegressor
categoria,cat137,2025-12-13,2025-12-14,1,1.0,1.47,2.06,model_d1,XGBRegressor
categoria,cat137,2025-12-14,2025-12-15,1,5.0,2.72,1.65,model_d1,XGBRegressor
categoria,cat137,2025-12-15,2025-12-16,1,1.0,3.33,2.06,model_d1,XGBRegressor
categoria,cat137,2025-12-16,2025-12-17,1,5.0,2.16,2.2,model_d1,XGBRegressor
categoria,cat137,2025-12-17,2025-12-18,1,2.0,2.82,2.47,model_d1,XGBRegressor
categoria,cat137,2025-12-18,2025-12-19,1,2.0,2.3,2.47,model_d1,XGBRegressor
categoria,cat137,2025-12-19,2025-12-20,1,5.0,1.4,2.75,model_d1,XGBRegressor
categoria,cat137,2025-12-20,2025-12-21,1,2.0,2.37,2.89,model_d1,XGBRegressor
categoria,cat137,2025-12-21,2025-12-22,1,2.0,2.74,3.02,model_d1,XGBRegressor
categoria,cat137,2025-12-22,2025-12-23,1,1.0,2.42,2.61,model_d1,XGBRegressor
categoria,cat137,2025-12-23,2025-12-24,1,0.0,2.51,2.61,model_d1,XGBRegressor
categoria,cat137,2025-12-24,2025-12-25,1,0.0,1.59,1.92,model_d1,XGBRegressor
categoria,cat137,2025-12-25,2025-12-26,1,1.0,1.7,1.65,model_d1,XGBRegressor
categoria,cat137,2025-12-26,2025-12-27,1,1.0,1.6,1.51,model_d1,XGBRegressor
categoria,cat137,2025-12-27,2025-12-28,1,1.0,1.08,0.96,model_d1,XGBRegressor
categoria,cat137,2025-12-28,2025-12-29,1,0.0,2.42,0.96,model_d1,XGBRegressor
categoria,cat137,2025-12-29,2025-12-30,1,0.0,1.75,0.96,model_d1,XGBRegressor
categoria,cat137,2025-12-30,2025-12-31,1,0.0,1.77,0.96,model_d1,XGBRegressor
categoria,cat18,2025-12-03,2025-12-04,1,0.0,1.5,1.1,model_d1,XGBRegressor
categoria,cat18,2025-12-04,2025-12-05,1,0.0,1.08,0.96,model_d1,XGBRegressor
categoria,cat18,2025-12-05,2025-12-06,1,1.0,0.56,0.96,model_d1,XGBRegressor
categoria,cat18,2025-12-06,2025-12-07,1,1.0,0.56,0.96,model_d1,XGBRegressor
categoria,cat18,2025-12-07,2025-12-08,1,0.0,1.31,0.96,model_d1,XGBRegressor
categoria,cat18,2025-12-08,2025-12-09,1,2.0,1.24,0.96,model_d1,XGBRegressor
categoria,cat18,2025-12-09,2025-12-10,1,0.0,1.31,0.96,model_d1,XGBRegressor
categoria,cat18,2025-12-10,2025-12-11,1,0.0,1.2,0.96,model_d1,XGBRegressor
categoria,cat18,2025-12-11,2025-12-12,1,0.0,0.97,0.96,model_d1,XGBRegressor
categoria,cat18,2025-12-12,2025-12-13,1,0.0,0.72,0.96,model_d1,XGBRegressor
categoria,cat18,2025-12-13,2025-12-14,1,0.0,0.64,0.96,model_d1,XGBRegressor
categoria,cat18,2025-12-14,2025-12-15,1,0.0,1.29,0.96,model_d1,XGBRegressor
categoria,cat18,2025-12-15,2025-12-16,1,1.0,1.32,0.96,model_d1,XGBRegressor
categoria,cat18,2025-12-16,2025-12-17,1,3.0,1.28,0.96,model_d1,XGBRegressor
categoria,cat18,2025-12-17,2025-12-18,1,0.0,1.24,0.96,model_d1,XGBRegressor
categoria,cat18,2025-12-18,2025-12-19,1,1.0,0.89,0.96,model_d1,XGBRegressor
categoria,cat18,2025-12-19,2025-12-20,1,0.0,0.67,0.96,model_d1,XGBRegressor
categoria,cat18,2025-12-20,2025-12-21,1,1.0,0.67,0.96,model_d1,XGBRegressor
categoria,cat18,2025-12-21,2025-12-22,1,2.0,1.23,0.96,model_d1,XGBRegressor
categoria,cat18,2025-12-22,2025-12-23,1,1.0,1.57,1.1,model_d1,XGBRegressor
categoria,cat18,2025-12-23,2025-12-24,1,0.0,1.3,1.1,model_d1,XGBRegressor
categoria,cat18,2025-12-24,2025-12-25,1,0.0,0.6,0.96,model_d1,XGBRegressor
categoria,cat18,2025-12-25,2025-12-26,1,1.0,0.74,0.96,model_d1,XGBRegressor
categoria,cat18,2025-12-26,2025-12-27,1,0.0,0.31,0.96,model_d1,XGBRegressor
categoria,cat18,2025-12-27,2025-12-28,1,2.0,0.6,0.96,model_d1,XGBRegressor
categoria,cat18,2025-12-28,2025-12-29,1,0.0,1.37,0.96,model_d1,XGBRegressor
categoria,cat18,2025-12-29,2025-12-30,1,0.0,1.31,0.96,model_d1,XGBRegressor
categoria,cat18,2025-12-30,2025-12-31,1,0.0,0.97,0.96,model_d1,XGBRegressor
categoria,cat29,2025-12-03,2025-12-04,1,0.0,0.97,0.96,model_d1,XGBRegressor
categoria,cat29,2025-12-04,2025-12-05,1,1.0,0.61,0.96,model_d1,XGBRegressor
categoria,cat29,2025-12-05,2025-12-06,1,0.0,0.25,0.96,model_d1,XGBRegressor
categoria,cat29,2025-12-06,2025-12-07,1,0.0,0.12,0.96,model_d1,XGBRegressor
categoria,cat29,2025-12-07,2025-12-08,1,0.0,0.79,0.96,model_d1,XGBRegressor
categoria,cat29,2025-12-08,2025-12-09,1,0.0,0.62,0.96,model_d1,XGBRegressor
categoria,cat29,2025-12-09,2025-12-10,1,3.0,0.61,0.96,model_d1,XGBRegressor
categoria,cat29,2025-12-10,2025-12-11,1,0.0,1.08,0.96,model_d1,XGBRegressor
categoria,cat29,2025-12-11,2025-12-12,1,1.0,0.77,0.96,model_d1,XGBRegressor
categoria,cat29,2025-12-12,2025-12-13,1,1.0,0.33,0.96,model_d1,XGBRegressor
categoria,cat29,2025-12-13,2025-12-14,1,0.0,0.2,0.96,model_d1,XGBRegressor
categoria,cat29,2025-12-14,2025-12-15,1,1.0,0.96,0.96,model_d1,XGBRegressor
categoria,cat29,2025-12-15,2025-12-16,1,0.0,0.9,0.96,model_d1,XGBRegressor
categoria,cat29,2025-12-16,2025-12-17,1,2.0,0.81,0.96,model_d1,XGBRegressor
categoria,cat29,2025-12-17,2025-12-18,1,0.0,0.96,0.96,model_d1,XGBRegressor
categoria,cat29,2025-12-18,2025-12-19,1,0.0,0.76,0.96,model_d1,XGBRegressor
categoria,cat29,2025-12-19,2025-12-20,1,0.0,0.43,0.96,model_d1,XGBRegressor
categoria,cat29,2025-12-20,2025-12-21,1,0.0,0.19,0.96,model_d1,XGBRegressor
categoria,cat29,2025-12-21,2025-12-22,1,0.0,0.85,0.96,model_d1,XGBRegressor
categoria,cat29,2025-12-22,2025-12-23,1,1.0,0.76,0.96,model_d1,XGBRegressor
categoria,cat29,2025-12-23,2025-12-24,1,0.0,0.81,0.96,model_d1,XGBRegressor
categoria,cat29,2025-12-24,2025-12-25,1,0.0,0.19,0.96,model_d1,XGBRegressor
categoria,cat29,2025-12-25,2025-12-26,1,1.0,0.45,0.96,model_d1,XGBRegressor
categoria,cat29,2025-12-26,2025-12-27,1,0.0,0.27,0.96,model_d1,XGBRegressor
categoria,cat29,2025-12-27,2025-12-28,1,0.0,0.11,0.96,model_d1,XGBRegressor
categoria,cat29,2025-12-28,2025-12-29,1,0.0,0.63,0.96,model_d1,XGBRegressor
categoria,cat29,2025-12-29,2025-12-30,1,0.0,0.65,0.96,model_d1,XGBRegressor
categoria,cat29,2025-12-30,2025-12-31,1,0.0,0.75,0.96,model_d1,XGBRegressor
categoria,cat31,2025-12-03,2025-12-04,1,2.0,9.01,6.6,model_d1,XGBRegressor
categoria,cat31,2025-12-04,2025-12-05,1,9.0,6.95,5.36,model_d1,XGBRegressor
categoria,cat31,2025-12-05,2025-12-06,1,1.0,1.63,5.36,model_d1,XGBRegressor
categoria,cat31,2025-12-06,2025-12-07,1,0.0,0.21,5.36,model_d1,XGBRegressor
categoria,cat31,2025-12-07,2025-12-08,1,14.0,6.39,5.36,model_d1,XGBRegressor
categoria,cat31,2025-12-08,2025-12-09,1,11.0,10.15,6.05,model_d1,XGBRegressor
categoria,cat31,2025-12-09,2025-12-10,1,6.0,9.81,6.6,model_d1,XGBRegressor
categoria,cat31,2025-12-10,2025-12-11,1,1.0,8.95,5.91,model_d1,XGBRegressor
categoria,cat31,2025-12-11,2025-12-12,1,2.0,6.41,5.77,model_d1,XGBRegressor
categoria,cat31,2025-12-12,2025-12-13,1,2.0,0.54,4.81,model_d1,XGBRegressor
categoria,cat31,2025-12-13,2025-12-14,1,0.0,0.71,4.95,model_d1,XGBRegressor
